ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
nasdaq:AACG|0.0000|0.2294|-0.4347|3.0000|9.0000|0.0000|1.9100
nasdaq:AACI|0.0000|0.6000|-0.0642|0.0000|9.0000|0.0000|10.0900
nasdaq:AADI|0.0000|0.5250|-1.8531|0.0000|9.0000|0.0000|7.4700
nasdaq:AAL|0.0717|-2.3934|-6.7160|7.0000|9.0000|0.0331|14.4200
nasdaq:AAME|0.0717|0.0209|0.1608|6.0000|9.0000|-0.0087|2.4000
nasdaq:AAOI|0.0000|1.1330|-2.5202|4.0000|9.0000|0.0000|2.2900
nasdaq:AAON|0.0279|0.0954|1.5136|9.0000|9.0000|0.3064|97.0100
nasdaq:AAPL|0.1023|0.1659|5.4007|9.0000|9.0000|0.1708|166.1700
nasdaq:ABCB|0.2737|0.1602|4.6047|9.0000|9.0000|0.1491|35.9900
nasdaq:ABCL|0.3346|0.4519|0.4464|4.0000|9.0000|0.0000|7.4800
nasdaq:ABCM|-0.1087|-0.1540|0.0760|8.0000|9.0000|0.0245|12.8300
nasdaq:ABEO|7.3147|-0.4006|36.4242|0.0000|9.0000|0.0000|2.8300
nasdaq:ABIO|2.2780|-0.3509|7.8967|0.0000|9.0000|0.0000|1.9500
nasdaq:ABNB|0.0000|0.4042|-4.1304|1.0000|9.0000|0.0000|121.4600
nasdaq:ABOS|0.0000|0.4807|-0.8087|0.0000|9.0000|0.0000|4.3100
nasdaq:ABSI|0.0000|0.5021|-0.8558|0.0000|9.0000|0.0000|1.8000
nasdaq:ABUS|0.0000|-0.1200|-1.0751|0.0000|9.0000|0.0000|3.0600
nasdaq:ABVC|0.0000|0.0570|-0.4271|0.0000|9.0000|0.0000|0.6421
nasdaq:ACAD|0.0000|0.0084|-1.6562|0.0000|9.0000|0.0000|18.9300
nasdaq:ACAH|0.0000|0.0000|0.0000|0.0000|9.0000|0.0000|10.0700
nasdaq:ACAX|0.0205|0.6000|0.0045|1.0000|9.0000|0.0000|10.2800
nasdaq:ACBA|0.1579|0.6146|0.0630|1.0000|9.0000|0.0000|10.8700
nasdaq:ACCD|0.0000|0.3604|-1.8664|0.0000|9.0000|0.0000|13.8000
nasdaq:ACDC|0.4288|0.6000|0.7782|1.0000|9.0000|0.0000|13.5600
nasdaq:ACER|0.0000|0.0277|-2.2909|0.0000|9.0000|0.0000|0.8799
nasdaq:ACET|0.0000|0.3007|-4.9218|0.0000|9.0000|0.0000|5.7000
nasdaq:ACGL|0.1111|0.1217|3.7338|9.0000|9.0000|0.0000|68.6100
nasdaq:ACGN|0.0000|-0.1719|-13.5489|0.0000|9.0000|0.0000|2.5250
nasdaq:ACHC|0.0445|0.0934|1.9460|9.0000|9.0000|0.0000|72.5500
nasdaq:ACHL|0.0000|0.4370|-2.2869|0.0000|9.0000|0.0000|0.9540
nasdaq:ACHV|0.0000|0.0105|-65.6811|0.0000|9.0000|0.0000|7.2000
nasdaq:ACIU|0.0000|0.3331|-1.1636|3.0000|9.0000|0.0000|2.2600
nasdaq:ACIW|0.0708|0.1056|0.9767|9.0000|9.0000|0.0000|26.5300
nasdaq:ACLS|0.1295|0.2783|3.4002|8.0000|9.0000|0.0000|132.4200
nasdaq:ACLX|0.0000|0.4971|-2.6231|0.0000|9.0000|0.0000|29.3700
nasdaq:ACMR|0.1954|0.2870|0.5843|7.0000|9.0000|0.0000|12.2000
nasdaq:ACNB|0.2210|0.0975|3.5878|9.0000|9.0000|0.3045|31.3700
nasdaq:ACNT|0.7475|0.6276|1.4393|5.0000|9.0000|0.0716|9.1000
nasdaq:ACON|0.0000|0.4180|-0.9887|0.0000|9.0000|0.0000|0.6001
nasdaq:ACOR|0.0000|0.2529|-10.8220|3.0000|9.0000|0.0000|0.5647
nasdaq:ACRS|0.0000|-0.0467|-1.6069|0.0000|9.0000|0.0000|8.6300
nasdaq:ACRV|0.0000|0.5954|-2.9307|0.0000|9.0000|0.0000|11.8500
nasdaq:ACRX|0.0000|-0.1303|-0.3160|0.0000|9.0000|0.0000|0.6099
nasdaq:ACST|0.0000|-0.1576|-1.6151|0.0000|9.0000|0.0000|0.4600
nasdaq:ACT|0.5748|0.5250|2.9691|2.0000|9.0000|0.0366|22.9600
nasdaq:ACTG|0.0000|-0.1860|-0.2687|3.0000|9.0000|0.0000|3.9500
nasdaq:ACVA|0.0000|0.3700|-0.8267|0.0000|9.0000|0.0000|12.7500
nasdaq:ACXP|0.0000|0.3909|-1.0996|0.0000|9.0000|0.0000|3.4300
nasdaq:ADAG|0.0000|0.2950|-0.5111|0.0000|9.0000|0.0000|1.3500
nasdaq:ADAL|0.1095|0.6000|0.0310|1.0000|9.0000|0.0000|10.4500
nasdaq:ADAP|0.0000|0.0488|-1.1382|0.0000|9.0000|0.0000|1.0600
nasdaq:ADBE|0.1318|0.2616|11.1096|9.0000|9.0000|0.0000|380.0800
nasdaq:ADD|20.8189|-0.3583|59.4009|0.0000|9.0000|0.0000|1.8000
nasdaq:ADEA|-0.0089|-0.1459|0.5764|6.0000|9.0000|0.1473|8.7400
nasdaq:ADER|0.0000|0.0000|0.0000|1.0000|9.0000|0.0000|10.3400
nasdaq:ADES|0.0000|0.0000|0.0000|0.0000|9.0000|0.0000|1.9600
nasdaq:ADI|0.0695|0.1076|4.5540|9.0000|9.0000|0.6284|196.2800
nasdaq:ADIL|0.0000|0.2168|-1.2423|0.0000|9.0000|0.0000|0.3368
nasdaq:ADMA|0.0000|-0.1695|-0.4042|0.0000|9.0000|0.0000|3.3200
nasdaq:ADMP|0.0000|-0.1824|-0.1909|0.0000|9.0000|0.0000|0.1100
nasdaq:ADN|0.0000|0.5844|-0.5926|0.0000|9.0000|0.0000|1.0900
nasdaq:ADOC|0.0000|0.6000|-0.4911|0.0000|9.0000|0.0000|10.7700
nasdaq:ADP|0.0972|0.1251|6.6496|9.0000|9.0000|0.5688|216.8100
nasdaq:ADPT|0.0000|0.1243|-1.9067|0.0000|9.0000|0.0000|8.7100
nasdaq:ADSE|0.0000|0.2282|-174.1133|0.0000|9.0000|0.0000|2.6400
nasdaq:ADSK|2.7615|5.9923|1.0820|5.0000|9.0000|0.0000|207.5800
nasdaq:ADTH|0.5675|0.4416|0.2736|4.0000|9.0000|0.0000|1.6400
nasdaq:ADTN|-0.3934|-1.2204|-0.3998|5.0000|9.0000|0.1967|15.5100
nasdaq:ADTX|0.0000|0.2910|-33.9244|0.0000|9.0000|0.0000|0.9090
nasdaq:ADUS|0.0656|0.1517|2.6442|9.0000|9.0000|0.0000|107.5400
nasdaq:ADV|0.0000|0.3971|-2.4964|1.0000|9.0000|0.0000|1.6900
nasdaq:ADVM|0.0000|-0.0768|-1.1433|0.0000|9.0000|0.0000|0.6928
nasdaq:ADXN|0.0000|0.2288|-3.4600|0.0000|9.0000|0.0000|0.9937
nasdaq:AEHL|0.0000|-0.2336|-1.4256|0.0000|9.0000|0.0000|1.0300
nasdaq:AEHR|-0.1997|-0.3554|0.0764|3.0000|9.0000|0.0000|32.5500
nasdaq:AEI|0.0000|0.0393|-7.8613|0.0000|9.0000|0.0000|1.5600
nasdaq:AEIS|0.0972|0.1087|4.6540|9.0000|9.0000|0.0517|96.1700
nasdaq:AEMD|9.3794|-0.3801|6.0611|0.0000|9.0000|0.0000|0.3850
