ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
nyse:A|0.1144|0.1958|4.1469|9.0000|9.0000|0.2181|137.8600
nyse:AA|0.0000|-0.0266|-1.3744|3.0000|9.0000|0.0000|41.7700
nyse:AAC|0.1777|0.5250|0.1171|2.0000|9.0000|0.0000|10.3300
nyse:AAIC|0.0000|-0.1623|-0.3287|3.0000|9.0000|0.2000|3.1800
nyse:AAN|-0.3571|-1.5698|-1.8653|5.0000|9.0000|0.0000|9.6800
nyse:AAP|0.0991|0.0343|7.8902|9.0000|9.0000|0.3298|122.6900
nyse:AAT|-0.0699|-0.1205|0.2578|8.0000|9.0000|0.6222|27.6100
nyse:AB|0.1818|0.0488|2.7836|9.0000|9.0000|1.0000|35.7000
nyse:ABB|-0.0991|-0.1698|0.2012|9.0000|9.0000|0.8369|34.4200
nyse:ABBV|0.1529|0.1438|6.4733|9.0000|9.0000|0.9104|160.4200
nyse:ABC|-0.0832|-0.1089|1.1513|7.0000|9.0000|0.2215|162.2800
nyse:ABEV|0.0237|-0.0804|0.1267|9.0000|9.0000|0.7292|2.8100
nyse:ABG|0.3160|0.2632|24.4473|9.0000|9.0000|0.0000|209.9800
nyse:ABM|0.1036|0.0898|1.9274|9.0000|9.0000|0.5020|44.9400
nyse:ABR|0.2991|0.0491|1.5473|9.0000|9.0000|0.9962|11.4600
nyse:ABT|0.1343|0.1798|3.4082|9.0000|9.0000|0.5409|101.5900
nyse:AC|-0.1615|-0.2060|0.0533|6.0000|9.0000|0.1118|37.2800
nyse:ACA|0.1918|0.2253|3.7562|7.0000|9.0000|0.0811|62.8100
nyse:ACCO|0.0717|-0.0754|0.5524|8.0000|9.0000|0.2556|5.3900
nyse:ACEL|0.1595|0.2415|0.4046|5.0000|9.0000|0.0000|9.1600
nyse:ACHR|0.0000|0.5235|-0.9137|0.0000|9.0000|0.0000|2.7600
nyse:ACI|0.3404|0.4528|1.2859|5.0000|9.0000|0.0000|20.9000
nyse:ACM|0.0363|0.0986|1.7678|8.0000|9.0000|0.0831|84.5000
nyse:ACN|0.0944|0.1155|10.2382|9.0000|9.0000|0.3602|285.8400
nyse:ACP|-0.1758|-0.2816|0.0138|2.0000|9.0000|0.3787|7.8350
nyse:ACR|0.0000|0.5525|-5.6851|5.0000|9.0000|0.1333|9.6400
nyse:ACRE|0.1776|-0.0091|0.9313|9.0000|9.0000|0.9578|9.1000
nyse:ACRO|0.0000|0.0000|0.0000|0.0000|9.0000|0.0000|10.1300
nyse:ADC|-0.0273|-0.0638|1.2171|8.0000|9.0000|0.6238|76.1200
nyse:ADCT|0.0000|0.3519|-2.8813|0.0000|9.0000|0.0000|2.0500
nyse:ADM|0.1160|0.0811|4.5229|9.0000|9.0000|0.3553|80.4200
nyse:ADNT|0.0000|0.6650|-3.7984|4.0000|9.0000|0.0098|40.9500
nyse:ADT|0.0000|0.1788|-0.4442|2.0000|9.0000|0.2845|7.1600
nyse:ADX|0.0208|-0.0552|0.9247|6.0000|9.0000|-0.0116|15.9200
nyse:AEE|0.1097|0.0786|4.1129|9.0000|9.0000|0.5445|86.1600
nyse:AEG|-0.1582|-0.2385|0.0104|6.0000|9.0000|0.1425|4.3300
nyse:AEL|0.5158|0.2642|8.4600|9.0000|9.0000|0.0516|36.4200
nyse:AEM|0.1743|0.2152|2.1400|8.0000|9.0000|0.5091|52.5300
nyse:AENZ|0.0000|0.5501|-1.7851|1.0000|9.0000|-0.0544|2.4500
nyse:AEO|0.2622|0.1367|1.7220|8.0000|9.0000|0.2144|13.5400
nyse:AER|-0.1072|-0.2089|0.6796|7.0000|9.0000|0.0000|56.2400
nyse:AES|0.0000|-0.5921|-0.2889|5.0000|9.0000|0.3719|23.8200
nyse:AESI|0.4894|0.6283|1.2413|2.0000|9.0000|0.0000|17.8400
nyse:AEVA|0.0000|0.4632|-0.5420|0.0000|9.0000|0.0000|1.1600
nyse:AFB|-0.0605|-0.1718|0.2660|7.0000|9.0000|0.3872|11.2000
nyse:AFG|0.1513|0.0939|9.2936|9.0000|9.0000|0.2580|122.2800
nyse:AFL|0.1932|0.1086|6.7496|9.0000|9.0000|0.1297|64.6600
nyse:AFT|0.0292|-0.0607|0.6502|6.0000|9.0000|0.4332|13.0500
nyse:AFTR|0.2148|0.6000|0.1247|1.0000|9.0000|0.0000|10.2200
nyse:AG|-0.1905|-0.4844|0.1364|1.0000|9.0000|0.0000|5.4900
nyse:AGAC|0.0000|0.0000|0.0000|1.0000|9.0000|0.0000|10.2700
nyse:AGCO|0.1938|0.2065|8.6571|9.0000|9.0000|0.1186|133.3200
nyse:AGD|-0.1160|-0.2004|0.0740|5.0000|9.0000|0.0325|9.3600
nyse:AGI|-0.1800|-0.5225|0.3176|1.0000|9.0000|0.0256|4.6600
nyse:AGL|0.0000|0.4125|-0.2591|0.0000|9.0000|0.0000|25.3500
nyse:AGM|0.2211|0.1439|11.9433|9.0000|9.0000|0.3521|133.1900
nyse:AGO|0.0085|-0.1078|2.8604|9.0000|9.0000|0.3266|50.7700
nyse:AGR|0.1532|0.0702|2.1733|9.0000|9.0000|1.0776|38.9900
nyse:AGRO|0.3814|0.4576|0.6182|6.0000|9.0000|0.0000|8.1900
nyse:AGS|0.0000|-0.0097|-1.0027|0.0000|9.0000|0.0000|7.3000
nyse:AGTI|0.0096|0.1795|0.1069|3.0000|9.0000|0.0000|15.9000
nyse:AGX|-0.0284|-0.1228|1.2467|8.0000|9.0000|0.4265|40.9600
nyse:AHH|-0.1113|-0.1977|0.0767|8.0000|9.0000|0.6278|12.7200
nyse:AHT|0.0000|0.0703|-78.8511|1.0000|9.0000|-0.0046|9.1900
nyse:AI|0.0000|0.4907|-1.2247|0.0000|9.0000|0.0000|33.8700
nyse:AIF|0.0597|-0.0462|0.8569|6.0000|9.0000|0.4127|12.7400
nyse:AIG|0.5802|0.3886|8.3502|6.0000|9.0000|0.2590|50.4200
nyse:AIN|0.0961|0.1251|3.4413|9.0000|9.0000|0.1963|89.4800
nyse:AIR|0.0512|0.0895|1.6567|8.0000|9.0000|0.0318|55.2000
nyse:AIRC|0.0368|0.0030|1.5876|5.0000|9.0000|0.2807|41.7700
nyse:AIT|0.0530|0.0569|4.0433|9.0000|9.0000|0.4881|142.1600
nyse:AIU|0.0000|0.4863|-8.0113|5.0000|9.0000|0.0000|1.0500
nyse:AIV|0.0000|0.4500|-0.0171|2.0000|9.0000|0.0000|8.9900
nyse:AIZ|0.0697|-0.0099|6.7436|9.0000|9.0000|0.4781|118.8000
nyse:AJG|0.0762|0.1317|4.9024|9.0000|9.0000|0.3590|193.2600
nyse:AJRD|0.1310|0.2395|1.8624|7.0000|9.0000|0.0000|56.2700
nyse:AJX|0.0148|-0.1352|0.4616|8.0000|9.0000|0.5105|6.7400
nyse:AKA|0.0000|0.6269|-0.4560|2.0000|9.0000|0.0000|0.5338
nyse:AKR|0.0000|-0.2840|-0.0778|7.0000|9.0000|0.3435|15.9000
nyse:AL|0.0772|-0.0152|3.2504|8.0000|9.0000|0.0877|38.8800
nyse:ALB|0.1970|0.2463|11.1373|9.0000|9.0000|0.2038|218.4300
nyse:ALE|0.0926|0.0139|3.4111|9.0000|9.0000|0.7600|64.1500
nyse:ALEX|0.0000|-0.4988|-0.2474|6.0000|9.0000|0.4958|18.1500
nyse:ALG|0.0775|0.1036|6.9884|9.0000|9.0000|0.0900|184.0600
nyse:ALIT|0.0000|0.5250|-0.0964|0.0000|9.0000|0.0000|9.0500
nyse:ALK|0.0000|-0.3608|-1.4504|8.0000|9.0000|0.0664|42.0900
nyse:ALL|0.0941|0.0329|8.2131|8.0000|9.0000|0.1158|114.2500
nyse:ALLE|0.1450|0.1461|5.4973|9.0000|9.0000|0.3203|106.0600
nyse:ALLG|0.0000|0.0000|0.0000|0.0000|9.0000|0.0000|2.4400
nyse:ALLY|0.4240|0.1768|4.9949|8.0000|9.0000|0.2743|25.3600
nyse:ALSN|0.2277|0.1432|5.0209|9.0000|9.0000|0.1128|45.2800
nyse:ALTG|0.0000|0.3595|-0.3763|2.0000|9.0000|0.3290|15.2000
nyse:ALV|0.0559|-0.0197|4.8838|9.0000|9.0000|0.4433|92.8600
nyse:ALX|-0.0294|-0.1204|5.8569|8.0000|9.0000|0.6307|226.5300
nyse:AM|0.8194|1.3182|0.2300|4.0000|9.0000|0.8444|10.6800
nyse:AMBC|0.0000|-0.3518|-1.5033|5.0000|9.0000|0.0000|15.2300
nyse:AMBP|0.4309|0.5832|0.1922|2.0000|9.0000|0.3778|4.1300
nyse:AMC|0.0000|0.4997|-7.3304|4.0000|9.0000|-0.0260|5.1100
nyse:AMCR|0.0968|0.0471|0.4542|9.0000|9.0000|0.9976|11.3000
nyse:AME|0.0615|0.0896|4.4938|9.0000|9.0000|0.1853|144.2500
nyse:AMG|0.2796|0.1469|17.8958|9.0000|9.0000|0.2676|140.2700
nyse:AMH|2.3083|4.2577|0.3125|4.0000|9.0000|0.7182|35.9800
nyse:AMK|0.0879|0.2260|0.6431|4.0000|9.0000|0.0000|31.2700
nyse:AMN|0.2795|0.2621|8.0153|9.0000|9.0000|0.0000|83.0600
nyse:AMP|0.1717|0.1458|21.0940|9.0000|9.0000|0.2337|306.2700
nyse:AMPS|0.2949|0.5406|0.1687|3.0000|9.0000|0.0000|5.3100
nyse:AMPX|0.0000|0.6000|-0.0907|0.0000|9.0000|0.0000|8.5100
nyse:AMPY|0.0000|-0.0653|-2.4984|3.0000|9.0000|-0.1556|7.3800
nyse:AMR|0.4789|0.3883|23.6600|4.0000|9.0000|0.0057|162.3700
nyse:AMRC|0.1324|0.2429|1.5616|9.0000|9.0000|0.0000|47.4000
nyse:AMRX|-0.3181|-1.4614|-1.1091|5.0000|9.0000|-0.1081|1.4500
nyse:AMT|-0.0071|0.0272|2.7907|8.0000|9.0000|0.6404|254.1800
nyse:AMTD|0.8825|0.2068|0.9056|5.0000|9.0000|0.0000|1.5800
nyse:AMWL|0.0000|0.4078|-1.3302|0.0000|9.0000|0.0000|2.3100
nyse:AMX|0.0594|0.0440|0.8911|9.0000|9.0000|0.1657|21.0100
nyse:AN|0.3632|0.2791|18.4084|9.0000|9.0000|0.0000|135.3600
nyse:ANET|0.1086|0.2752|3.3473|9.0000|9.0000|0.0000|167.7400
nyse:ANF|0.2559|0.2580|1.9704|8.0000|9.0000|0.2478|27.9000
nyse:ANVS|0.0000|0.3259|-0.3404|0.0000|9.0000|0.0000|12.0900
nyse:AOD|-0.0518|-0.1402|0.2162|5.0000|9.0000|0.0422|7.8600
nyse:AOMR|0.0000|0.6000|-2.8900|1.0000|9.0000|0.0000|7.4300
nyse:AON|0.0866|0.1359|9.4089|9.0000|9.0000|0.2937|317.0800
nyse:AORT|0.0000|2.5789|-0.4702|5.0000|9.0000|-0.1134|12.7800
nyse:AOS|0.0550|0.0378|2.1833|9.0000|9.0000|0.5905|68.8500
nyse:AP|0.0000|-0.1015|-0.8089|3.0000|9.0000|-0.0222|2.9300
nyse:APAM|0.3624|0.1625|3.4189|8.0000|9.0000|1.0818|31.6300
nyse:APCA|0.0889|0.6000|0.0215|1.0000|9.0000|0.0000|10.5400
nyse:APD|0.0964|0.1049|9.7387|9.0000|9.0000|0.6151|289.0400
nyse:APG|0.0000|0.2875|-1.0803|1.0000|9.0000|0.0000|22.4200
nyse:APGB|0.0000|0.0000|0.0000|1.0000|9.0000|0.0000|10.2400
nyse:APH|0.1033|0.1415|2.8796|9.0000|9.0000|0.2836|81.2200
nyse:APLE|0.0000|-0.2611|-0.0167|7.0000|9.0000|0.1842|15.4900
nyse:APO|0.0406|0.1016|1.1031|7.0000|9.0000|0.2233|55.6200
nyse:APRN|0.0000|-0.1631|-3.5118|0.0000|9.0000|0.0000|0.6905
nyse:APTV|-0.0228|-0.0501|2.6109|9.0000|9.0000|0.0122|110.4900
nyse:AQNU|0.1004|0.1962|0.7372|8.0000|9.0000|0.2350|29.6300
nyse:AQUA|6.0313|10.1186|0.8664|6.0000|9.0000|0.0000|49.7200
nyse:AR|-0.4454|-1.0844|-0.6787|4.0000|9.0000|0.0000|23.6800
nyse:ARC|0.0000|-1.2994|0.1660|7.0000|9.0000|0.5916|3.1900
nyse:ARCH|1.4531|1.0955|29.8707|6.0000|9.0000|0.1871|136.1100
nyse:ARCO|0.3581|0.5118|0.3453|6.0000|9.0000|0.2186|7.6000
nyse:ARE|0.0936|0.1740|3.4093|7.0000|9.0000|0.4860|152.6700
nyse:ARES|0.0208|0.0671|0.9640|9.0000|9.0000|0.9892|82.2700
nyse:ARGO|-0.3527|-1.4242|-3.9453|5.0000|9.0000|0.0751|29.4200
nyse:ARI|0.1431|-0.0670|1.0355|9.0000|9.0000|0.9474|9.2400
nyse:ARIS|0.1249|0.5250|0.0276|2.0000|9.0000|0.6889|7.9500
nyse:ARL|1.2476|0.5105|10.8431|4.0000|9.0000|0.0000|21.0300
nyse:ARLO|0.0000|0.2380|-1.0607|1.0000|9.0000|0.0000|6.0300
nyse:ARMK|-0.1682|-0.2323|0.0511|7.0000|9.0000|0.1802|35.3700
nyse:ARNC|0.0000|0.7612|-1.3842|2.0000|9.0000|0.0000|25.8900
nyse:AROC|-0.1576|-0.4619|0.3080|5.0000|9.0000|1.2202|10.2800
nyse:ARR|0.0000|0.0071|-1.9289|2.0000|9.0000|0.0608|5.2300
nyse:ARW|0.2844|0.2109|15.2787|8.0000|9.0000|0.0000|124.1800
nyse:ASA|0.4924|0.2336|3.3551|4.0000|9.0000|0.0018|13.5000
