ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
bkk:24CS|0.2420|0.5250|0.0517|3.0000|9.0000|0.0000|2.3400
bkk:2S|0.0865|-0.0091|0.2668|8.0000|9.0000|0.1488|3.1600
bkk:3K-BAT|0.0000|-0.5172|-0.6544|6.0000|9.0000|0.1311|60.5000
bkk:7UP|-0.1492|-0.4750|0.0695|3.0000|9.0000|0.0000|0.7100
bkk:A|-0.1485|-0.2084|0.0130|7.0000|9.0000|0.0394|4.9800
bkk:A5|-0.1592|-0.3737|0.0676|5.0000|9.0000|0.0000|4.2200
bkk:AAI|0.3871|0.4755|0.3418|4.0000|9.0000|0.2852|5.8500
bkk:AAV|0.0000|0.7766|-0.9199|5.0000|9.0000|0.0274|2.7800
bkk:ABM|0.3569|0.5264|0.0894|6.0000|9.0000|0.0222|1.8000
bkk:ACAP|0.0000|0.7481|-0.6964|3.0000|9.0000|0.0402|0.6500
bkk:ACC|-0.1974|-0.2638|0.0009|2.0000|9.0000|0.0000|1.2500
bkk:ACE|0.2874|0.3392|0.1482|7.0000|9.0000|0.1333|2.2800
bkk:ACG|0.1660|0.1807|0.0609|6.0000|9.0000|0.7221|1.5000
bkk:ADB|0.0377|0.0021|0.0486|8.0000|9.0000|0.5434|1.4800
bkk:ADD|0.2147|0.2145|0.3407|7.0000|9.0000|1.0058|7.9000
bkk:ADVANC|0.0376|-0.0400|8.5613|9.0000|9.0000|0.7481|213.0000
bkk:AEONTS|0.1513|0.0647|15.3944|9.0000|9.0000|0.3228|181.0000
bkk:AF|0.0211|-0.0147|0.0277|8.0000|9.0000|0.9050|1.1700
bkk:AFC|-0.2639|-0.6630|0.1836|4.0000|9.0000|0.0812|7.1000
bkk:AGE|0.6136|0.3486|0.5605|8.0000|9.0000|0.3910|3.0200
bkk:AH|0.2980|0.1679|3.7518|8.0000|9.0000|0.3336|30.7500
bkk:AHC|0.1625|0.0537|1.4482|9.0000|9.0000|0.5615|17.2000
bkk:AI|0.2386|0.0644|0.5924|9.0000|9.0000|0.9946|6.0000
bkk:AIE|0.3716|0.3955|0.1452|4.0000|9.0000|0.3745|2.1000
bkk:AIRA|0.0000|0.0533|-0.0186|2.0000|9.0000|-0.0936|2.0400
bkk:AIT|0.0655|-0.0513|0.3436|9.0000|9.0000|0.8673|5.9500
bkk:AJ|0.3823|0.3575|0.8791|8.0000|9.0000|0.4067|10.7000
bkk:AJA|0.0000|0.3276|-0.0516|2.0000|9.0000|0.0000|0.2400
bkk:AKP|0.0010|-0.0763|0.0750|9.0000|9.0000|0.3502|1.9900
bkk:AKR|0.1437|0.0876|0.0740|7.0000|9.0000|0.2447|0.9900
bkk:ALL|1.0990|0.2178|0.1509|6.0000|9.0000|0.0804|0.2200
bkk:ALLA|0.0000|-0.2879|-0.0272|9.0000|9.0000|1.0080|1.4200
bkk:ALPHAX|-0.2771|-0.5571|0.0019|4.0000|9.0000|0.0303|1.1800
bkk:ALT|0.0000|-0.5437|-0.0836|5.0000|9.0000|0.0399|2.1400
bkk:ALUCON|0.1079|-0.0252|15.3689|9.0000|9.0000|0.6452|187.5000
bkk:AMA|0.2358|0.1270|0.5462|9.0000|9.0000|0.4143|5.4000
bkk:AMANAH|0.8103|0.7187|0.3853|7.0000|9.0000|0.5946|3.6800
bkk:AMARC|0.2098|0.3545|0.0650|5.0000|9.0000|0.6368|2.6200
bkk:AMARIN|-0.1827|-0.5844|0.6420|5.0000|9.0000|0.7483|6.0000
bkk:AMATA|0.0747|0.0042|1.4033|9.0000|9.0000|0.2886|22.7000
bkk:AMATAV|0.3665|0.2978|0.7839|8.0000|9.0000|0.1179|6.7000
bkk:AMC|0.0337|-0.0343|0.1473|5.0000|9.0000|0.2034|2.9000
bkk:AMR|0.4970|0.3550|0.3899|5.0000|9.0000|0.8109|3.8000
bkk:ANAN|0.0000|-0.3529|-0.0869|7.0000|9.0000|0.0559|1.2200
